Continent,Price,Year
Americas,7.94,2020
Americas,2.3,2022
Africa,5.4,2020
Africa,3.34,2022
Asia,5.06,2020
Asia,2.39,2022
Europe,6.14,2020
Europe,2.35,2022
Oceania,5.28,2020
Oceania,2.63,2022
