Country,Price (2020),Price (2021),Price (2022),Cheap,Expensive
Saint Barthélemy,5.04,4.06,2.36,0.59,106.49
Argentina,7.4,1.45,2.38,0.44,11.47
Bosnia and Herzegovina,3.05,3.04,2.39,0.63,21.26
Saint Vincent and the Grenadines,3.58,3.33,2.41,1.48,3.33
Grenada,12.0,5.37,2.44,1.84,4.44
Paraguay,11.56,2.3,2.53,0.73,9.12
CÃ´te d'Ivoire,6.18,3.2,2.58,1.17,18.06
Liberia,3.75,3.25,2.59,1.55,20.0
Tajikistan,4.1,4.65,2.6,0.87,13.12
Saint Lucia,4.84,3.27,2.62,1.46,4.44
Faroe Islands,9.78,2.41,2.64,1.1,163.9
Lesotho,7.19,2.13,2.66,1.29,9.02
South Africa,7.77,4.3,2.67,0.12,34.95
Jamaica,2.43,3.88,2.74,0.86,9.6
Ãland Islands,4.64,3.24,2.75,2.35,8.81
Gibraltar,3.1,7.38,2.78,1.67,2.98
Mozambique,12.82,3.33,2.79,0.19,6.98
Albania,5.28,2.83,2.8,0.72,96.39
Colombia,3.22,3.46,2.8,0.42,9.88
Congo,4.57,1.94,2.88,1.0,7.64
Belize,4.39,3.25,2.97,1.48,6.82
Luxembourg,13.95,3.89,3.0,1.42,7.1
Liechtenstein,7.99,4.01,3.1,0.19,24.06
The Netherlands,4.62,2.98,3.11,0.77,15.97
Lao People's Democratic Republic,3.42,4.16,3.19,0.18,4.25
Qatar,12.57,4.12,3.2,1.1,4.39
Comoros,5.27,4.38,3.21,0.6,96.41
Maldives,5.79,3.88,3.24,1.85,12.95
Sierra Leone,9.22,3.69,3.26,2.17,4.4
Mali,12.37,4.12,3.28,1.2,169.79
United States,8.34,8.0,3.33,1.0,30.0
Germany,6.96,4.06,3.38,0.35,11.83
Japan,10.4,3.91,3.38,0.88,45.53
Saint-Martin,8.46,3.32,3.46,0.59,106.49
Martinique,7.12,2.6,3.46,0.59,106.49
Latvia,18.12,3.79,3.49,0.29,70.87
Slovakia,7.38,3.84,3.55,1.04,35.5
Benin,20.99,27.22,3.61,0.45,60.21
Mexico,15.05,4.77,3.62,1.2,12.06
Saint Kitts and Nevis,14.9,11.07,3.7,1.85,24.42
Portugal,13.98,4.97,3.85,1.18,14.15
