Country,Continent,Users,Population
China,Asia,"1,010,740,000","1,427,647,786"
India,Asia,"833,710,000","1,352,642,280"
United States,Americas,"312,320,000","327,096,265"
Indonesia,Asia,"196,000,000","267,670,543"
Brazil,Americas,"160,010,801","209,469,323"
Nigeria,Africa,"136,203,231","195,874,685"
Bangladesh,Asia,"129,180,000","166,303,498"
Russia,Europe,"124,000,000","145,734,038"
Pakistan,Asia,"118,800,000","213,756,286"
Japan,Asia,"117,400,000","127,202,192"
Mexico,Americas,"92,010,000","128,972,439"
Iran,Asia,"78,086,663","81,800,188"
Germany,Europe,"77,794,405","83,124,418"
Philippines,Asia,"73,003,313","106,651,394"
Turkey,Europe,"69,945,905","82,340,088"
Vietnam,Asia,"68,172,134","95,545,962"
United Kingdom,Europe,"65,001,016","67,141,684"
France,Europe,"59,470,000","64,990,511"
Egypt,Africa,"54,740,141","98,423,598"
South Korea,Asia,"49,421,084","51,171,706"
Spain,Europe,"42,400,756","46,692,858"
Thailand,Asia,"54,043,108","69,428,453"
Italy,Europe,"50,540,000","60,627,291"
Poland,Europe,"34,697,848","37,921,592"
Canada,Americas,"33,950,632","37,064,562"
Argentina,Americas,"33,561,876","44,361,150"
South Africa,Africa,"31,858,027","57,792,518"
Colombia,Americas,"30,548,252","49,661,048"
Saudi Arabia,Asia,"27,048,861","33,702,756"
Malaysia,Asia,"25,343,685","31,528,033"
Ukraine,Europe,"31,100,000","44,246,156"
Algeria,Africa,"26,350,000","42,228,408"
Morocco,Africa,"22,072,765","36,029,093"
Taiwan,Asia,"21,920,626","23,726,460"
Australia,Oceania,"21,159,515","24,898,152"
Venezuela,Americas,"20,564,451","28,887,118"
Ethiopia,Africa,"19,543,075","109,224,414"
Iraq,Asia,"18,892,351","38,433,600"
Uzbekistan,Asia,"16,692,456","32,476,244"
Myanmar,Asia,"16,374,103","53,708,320"
Netherlands,Europe,"15,877,494","17,059,560"
Peru,Americas,"15,674,241","31,989,260"
Chile,Americas,"14,864,456","18,729,160"
Kazakhstan,Asia,"13,913,699","18,319,618"
Romania,Europe,"12,545,558","19,506,114"
Sudan,Africa,"12,512,639","41,801,533"
Ghana,Africa,"15,065,541","29,767,102"
Côte d'Ivoire,Africa,"10,650,818","25,069,230"
Uganda,Africa,"10,162,807","42,729,036"
Belgium,Europe,"10,021,242","11,482,178"
Sweden,Europe,"9,554,907","9,971,638"
Ecuador,Americas,"9,521,056","17,084,358"
Tanzania,Africa,"30,000,000","56,313,438"
United Arab Emirates,Asia,"8,913,217","9,630,959"
Kenya,Africa,"8,861,485","51,392,565"
Czech Republic,Europe,"8,358,728","10,665,677"
Switzerland,Europe,"7,942,864","8,525,611"
Greece,Europe,"7,923,438","10,522,246"
Azerbaijan,Asia,"7,763,795","9,949,537"
Austria,Europe,"7,681,957","8,891,388"
Portugal,Europe,"7,622,142","10,256,193"
Yemen,Asia,"7,548,512","28,498,683"
Hungary,Europe,"7,461,297","9,707,499"
Sri Lanka,Asia,"7,121,116","21,228,763"
Belarus,Europe,"7,048,231","9,452,617"
Democratic Republic of the Congo,Africa,"7,011,507","84,068,091"
Dominican Republic,Americas,"6,997,472","10,627,141"
Guatemala,Americas,"11,750,000","17,247,849"
Israel,Asia,"6,788,737","8,381,516"
"Hong Kong, China",Asia,"6,585,678","7,371,730"
Jordan,Asia,"6,480,202","9,965,318"
Tunisia,Africa,"6,400,330","11,565,201"
Nepal,Asia,"16,190,000","28,095,714"
Syria,Asia,"6,257,430","16,945,057"
Serbia,Europe,"6,182,411","8,802,754"
Mozambique,Africa,"6,162,217","29,496,004"
Cuba,Americas,"5,638,956","11,338,134"
Cameroon,Africa,"5,580,465","25,216,267"
Denmark,Europe,"5,407,278","5,752,126"
Cambodia,Asia,"5,441,827","16,249,792"
Norway,Europe,"5,120,225","5,337,962"
Bolivia,Americas,"4,843,916","11,353,142"
Finland,Europe,"4,831,170","5,522,576"
Singapore,Asia,"4,821,119","5,757,499"
Zambia,Africa,"4,760,715","17,351,708"
Lebanon,Asia,"4,755,187","6,859,408"
Senegal,Africa,"4,698,108","15,854,323"
Bulgaria,Europe,"4,492,326","7,051,608"
Zimbabwe,Africa,"4,472,992","14,438,802"
Slovakia,Europe,"4,446,926","5,453,014"
New Zealand,Oceania,"4,273,353","4,743,131"
Angola,Africa,"4,271,053","30,809,787"
Paraguay,Americas,"4,160,340","6,956,066"
Afghanistan,Asia,"4,068,194","37,171,921"
Kuwait,Asia,"4,053,797","4,137,312"
Ireland,Europe,"4,024,552","4,818,690"
Oman,Asia,"3,717,818","4,829,473"
Costa Rica,Americas,"3,511,549","4,999,441"
Moldova,Europe,"3,083,783","4,051,944"
Burkina Faso,Africa,"3,047,909","19,751,466"
Honduras,Americas,"2,977,793","9,587,522"
Croatia,Europe,"2,811,056","4,156,405"
Puerto Rico (U.S.),Americas,"2,664,928","3,039,596"
Rwanda,Africa,"2,657,770","12,301,970"
Malawi,Africa,"2,566,126","18,143,217"
Qatar,Asia,"2,532,059","2,781,682"
Madagascar,Africa,"2,505,948","26,262,313"
Bosnia and Herzegovina,Europe,"2,320,000","3,323,925"
Panama,Americas,"2,371,852","4,176,869"
Georgia,Asia,"3,446,533","4,002,942"
Uruguay,Americas,"2,360,269","3,449,285"
Mali,Africa,"2,358,540","19,077,749"
Kyrgyzstan,Asia,"2,309,235","6,304,030"
Lithuania,Europe,"2,243,448","2,801,264"
Niger,Africa,"2,194,985","22,442,831"
Albania,Europe,"2,105,339","2,882,740"
Armenia,Asia,"2,043,110","2,951,745"
El Salvador,Americas,"1,993,079","6,420,746"
Tajikistan,Asia,"1,959,127","9,100,835"
Laos,Asia,"1,749,517","7,061,507"
Nicaragua,Americas,"1,732,218","6,465,501"
Slovenia,Europe,"1,640,893","2,077,837"
North Macedonia,Europe,"1,589,659","2,082,957"
